Date,Game,event_description,winner,date,event_description_at,away_team,home_team,sep,pair_key,game_number
30-04-2025,Golden State Warriors & Houston Rockets,Golden State Warriors @  Houston Rockets,L,2025-04-30,Golden State Warriors @ Houston Rockets,Golden State Warriors,Houston Rockets,@,Golden State Warriors | Houston Rockets,5
30-04-2025,Los Angeles Lakers & Minnesota Timberwolves,Minnesota Timberwolves @ Los Angeles Lakers,W,2025-04-30,Minnesota Timberwolves @ Los Angeles Lakers,Minnesota Timberwolves,Los Angeles Lakers,@,Los Angeles Lakers | Minnesota Timberwolves,5
01-05-2025,Denver Nuggets & Los Angeles Clippers,Los Angeles Clippers vs. Denver Nuggets,W,2025-05-01,Denver Nuggets @ Los Angeles Clippers,Denver Nuggets,Los Angeles Clippers,vs,Denver Nuggets | Los Angeles Clippers,6
01-05-2025,Detroit Pistons & New York Knicks,New York Knicks @ Detroit Pistons,W,2025-05-01,New York Knicks @ Detroit Pistons,New York Knicks,Detroit Pistons,@,Detroit Pistons | New York Knicks,6
02-05-2025,Golden State Warriors & Houston Rockets,Golden State Warriors vs.  Houston Rockets,L,2025-05-02,Houston Rockets @ Golden State Warriors,Houston Rockets,Golden State Warriors,vs,Golden State Warriors | Houston Rockets,6
03-05-2025,Denver Nuggets & Los Angeles Clippers,Los Angeles Clippers @ Denver Nuggets,L,2025-05-03,Los Angeles Clippers @ Denver Nuggets,Los Angeles Clippers,Denver Nuggets,@,Denver Nuggets | Los Angeles Clippers,7
04-05-2025,Cleveland Cavaliers & Indiana Pacers,Indiana Pacers @ Cleveland Cavaliers,W,2025-05-04,Indiana Pacers @ Cleveland Cavaliers,Indiana Pacers,Cleveland Cavaliers,@,Cleveland Cavaliers | Indiana Pacers,1
04-05-2025,Golden State Warriors & Houston Rockets,Golden State Warriors @  Houston Rockets,W,2025-05-04,Golden State Warriors @ Houston Rockets,Golden State Warriors,Houston Rockets,@,Golden State Warriors | Houston Rockets,7
05-05-2025,Boston Celtics & New York Knicks,New York Knicks @ Boston Celtics,W,2025-05-05,New York Knicks @ Boston Celtics,New York Knicks,Boston Celtics,@,Boston Celtics | New York Knicks,1
05-05-2025,Denver Nuggets & Oklahoma City Thunder,Denver Nuggets @ Oklahoma City Thunder,W,2025-05-05,Denver Nuggets @ Oklahoma City Thunder,Denver Nuggets,Oklahoma City Thunder,@,Denver Nuggets | Oklahoma City Thunder,1
06-05-2025,Cleveland Cavaliers & Indiana Pacers,Indiana Pacers @ Cleveland Cavaliers,W,2025-05-06,Indiana Pacers @ Cleveland Cavaliers,Indiana Pacers,Cleveland Cavaliers,@,Cleveland Cavaliers | Indiana Pacers,2
06-05-2025,Golden State Warriors & Minnesota Timberwolves,Golden State Warriors @ Minnesota Timberwolves,W,2025-05-06,Golden State Warriors @ Minnesota Timberwolves,Golden State Warriors,Minnesota Timberwolves,@,Golden State Warriors | Minnesota Timberwolves,1
07-05-2025,Boston Celtics & New York Knicks,New York Knicks @ Boston Celtics,W,2025-05-07,New York Knicks @ Boston Celtics,New York Knicks,Boston Celtics,@,Boston Celtics | New York Knicks,2
07-05-2025,Denver Nuggets & Oklahoma City Thunder,Denver Nuggets @ Oklahoma City Thunder,L,2025-05-07,Denver Nuggets @ Oklahoma City Thunder,Denver Nuggets,Oklahoma City Thunder,@,Denver Nuggets | Oklahoma City Thunder,2
08-05-2025,Golden State Warriors & Minnesota Timberwolves,Golden State Warriors @ Minnesota Timberwolves,L,2025-05-08,Golden State Warriors @ Minnesota Timberwolves,Golden State Warriors,Minnesota Timberwolves,@,Golden State Warriors | Minnesota Timberwolves,2
09-05-2025,Cleveland Cavaliers & Indiana Pacers,Indiana Pacers vs. Cleveland Cavaliers,L,2025-05-09,Cleveland Cavaliers @ Indiana Pacers,Cleveland Cavaliers,Indiana Pacers,vs,Cleveland Cavaliers | Indiana Pacers,3
09-05-2025,Denver Nuggets & Oklahoma City Thunder,Denver Nuggets vs. Oklahoma City Thunder,W,2025-05-09,Oklahoma City Thunder @ Denver Nuggets,Oklahoma City Thunder,Denver Nuggets,vs,Denver Nuggets | Oklahoma City Thunder,3
10-05-2025,Boston Celtics & New York Knicks,New York Knicks vs. Boston Celtics,L,2025-05-10,Boston Celtics @ New York Knicks,Boston Celtics,New York Knicks,vs,Boston Celtics | New York Knicks,3
10-05-2025,Golden State Warriors & Minnesota Timberwolves,Golden State Warriors vs. Minnesota Timberwolves,L,2025-05-10,Minnesota Timberwolves @ Golden State Warriors,Minnesota Timberwolves,Golden State Warriors,vs,Golden State Warriors | Minnesota Timberwolves,3
11-05-2025,Cleveland Cavaliers & Indiana Pacers,Indiana Pacers vs. Cleveland Cavaliers,W,2025-05-11,Cleveland Cavaliers @ Indiana Pacers,Cleveland Cavaliers,Indiana Pacers,vs,Cleveland Cavaliers | Indiana Pacers,4
11-05-2025,Denver Nuggets & Oklahoma City Thunder,Denver Nuggets vs. Oklahoma City Thunder,L,2025-05-11,Oklahoma City Thunder @ Denver Nuggets,Oklahoma City Thunder,Denver Nuggets,vs,Denver Nuggets | Oklahoma City Thunder,4
12-05-2025,Boston Celtics & New York Knicks,New York Knicks vs. Boston Celtics,W,2025-05-12,Boston Celtics @ New York Knicks,Boston Celtics,New York Knicks,vs,Boston Celtics | New York Knicks,4
12-05-2025,Golden State Warriors & Minnesota Timberwolves,Golden State Warriors vs. Minnesota Timberwolves,L,2025-05-12,Minnesota Timberwolves @ Golden State Warriors,Minnesota Timberwolves,Golden State Warriors,vs,Golden State Warriors | Minnesota Timberwolves,4
13-05-2025,Cleveland Cavaliers & Indiana Pacers,Indiana Pacers @ Cleveland Cavaliers,W,2025-05-13,Indiana Pacers @ Cleveland Cavaliers,Indiana Pacers,Cleveland Cavaliers,@,Cleveland Cavaliers | Indiana Pacers,5
13-05-2025,Denver Nuggets & Oklahoma City Thunder,Denver Nuggets @ Oklahoma City Thunder,L,2025-05-13,Denver Nuggets @ Oklahoma City Thunder,Denver Nuggets,Oklahoma City Thunder,@,Denver Nuggets | Oklahoma City Thunder,5
14-05-2025,Boston Celtics & New York Knicks,New York Knicks @ Boston Celtics,L,2025-05-14,New York Knicks @ Boston Celtics,New York Knicks,Boston Celtics,@,Boston Celtics | New York Knicks,5
14-05-2025,Golden State Warriors & Minnesota Timberwolves,Golden State Warriors @ Minnesota Timberwolves,L,2025-05-14,Golden State Warriors @ Minnesota Timberwolves,Golden State Warriors,Minnesota Timberwolves,@,Golden State Warriors | Minnesota Timberwolves,5
15-05-2025,Denver Nuggets & Oklahoma City Thunder,Denver Nuggets vs. Oklahoma City Thunder,W,2025-05-15,Oklahoma City Thunder @ Denver Nuggets,Oklahoma City Thunder,Denver Nuggets,vs,Denver Nuggets | Oklahoma City Thunder,6
16-05-2025,Boston Celtics & New York Knicks,New York Knicks vs. Boston Celtics,W,2025-05-16,Boston Celtics @ New York Knicks,Boston Celtics,New York Knicks,vs,Boston Celtics | New York Knicks,6
18-05-2025,Denver Nuggets & Oklahoma City Thunder,Denver Nuggets @ Oklahoma City Thunder,L,2025-05-18,Denver Nuggets @ Oklahoma City Thunder,Denver Nuggets,Oklahoma City Thunder,@,Denver Nuggets | Oklahoma City Thunder,7
20-05-2025,Minnesota Timberwolves & Oklahoma City Thunder,Oklahoma City Thunder vs. Minnesota Timberwolves,W,2025-05-20,Minnesota Timberwolves @ Oklahoma City Thunder,Minnesota Timberwolves,Oklahoma City Thunder,vs,Minnesota Timberwolves | Oklahoma City Thunder,1
21-05-2025,Indiana Pacers & New York Knicks,New York Knicks vs. Indiana Pacers,L,2025-05-21,Indiana Pacers @ New York Knicks,Indiana Pacers,New York Knicks,vs,Indiana Pacers | New York Knicks,1
