Date,Game,event_description,winner,game_count
31-05-2025,Indiana Pacers & New York Knicks,New York Knicks @ Indiana Pacers,L,7
02-06-2025,Minnesota Timberwolves & Oklahoma City Thunder,,,7
04-06-2025,Minnesota Timberwolves & Oklahoma City Thunder,,,8
05-06-2025,Indiana Pacers & Oklahoma City Thunder,Oklahoma City Thunder @ Indiana Pacers,L,1
08-06-2025,Indiana Pacers & Oklahoma City Thunder,Oklahoma City Thunder @ Indiana Pacers,W,2
11-06-2025,Indiana Pacers & Oklahoma City Thunder,Oklahoma City Thunder vs. Indiana Pacers,L,3
13-06-2025,Indiana Pacers & Oklahoma City Thunder,Oklahoma City Thunder vs. Indiana Pacers,W,4
16-06-2025,Indiana Pacers & Oklahoma City Thunder,Oklahoma City Thunder @ Indiana Pacers,W,5
19-06-2025,Indiana Pacers & Oklahoma City Thunder,Oklahoma City Thunder vs. Indiana Pacers,L,6
22-06-2025,Indiana Pacers & Oklahoma City Thunder,Oklahoma City Thunder @ Indiana Pacers,W,7
